book_title,genre,count
Clockwork Angel (The Infernal Devices #)1),Fantasy; Young Adult; Fantasy; Paranormal; Science Fiction; Steampunk,99
The Gunslinger (The Dark Tower #)1),Fantasy; Fiction; Horror; Science Fiction,99
Why Not Me?,Nonfiction; Humor; Autobiography; Memoir; Audiobook,98
The Winner's Curse (The Winner's Trilogy #)1),Fantasy; Young Adult; Romance; Science Fiction; Dystopia,98
Furiously Happy: A Funny Book About Horrible Things,Nonfiction; Humor; Autobiography; Memoir; Audiobook; Biography,97
Before I Fall,Young Adult; Contemporary; Romance; Fiction; Fantasy,97
Into the Wild,Nonfiction; Biography; Adventure; Travel,97
Crossed (Matched #)2),Young Adult; Science Fiction; Dystopia; Romance,97
Champion (Legend #)3),Science Fiction; Dystopia; Young Adult; Romance,96
Behind Closed Doors,Thriller; Fiction; Mystery; Suspense; Thriller; Mystery Thriller,96
The Count of Monte Cristo,Classics; Fiction; Historical; Historical Fiction; Adventure,96
The Kitchen House,Historical; Historical Fiction; Fiction; Historical; Book Club,96
Aristotle and Dante Discover the Secrets of the Universe,Realistic Fiction; Young Adult; Coming Of Age; Lgbt; Audiobook; Young Adult,96
The Round House,Fiction; Mystery; Historical; Historical Fiction; Young Adult; Coming Of Age,96
Outliers: The Story of Success,Nonfiction; Psychology; Economics; Business; Self Help; Self Help,96
The Elegance of the Hedgehog,Fiction; Book Club; Audiobook,96
Grave Mercy (His Fair Assassin #)1),Fantasy; Young Adult; Historical; Historical Fiction; Romance; Historical,95
